Id,NameEN,NameES
1,Ancient Bone Dust,Polvo de Huesos Ancestrales
2,Apple,Manzana
3,Aubergine,Berenjena
4,Basil,Albahaca
5,Bass,Lubina
6,Blueberry Jam,Mermelada de Arándano
7,Blue Egg,Huevo Azul
8,Blueberry,Arándano
9,Bombardier Beetle Nugget,Pepita de Escarabajo Bombardero
10,Bottle of Milk,Botella de Leche
11,Bread,Pan
12,Carrot,Zanahoria
13,Charming Mushroom,Seta Encantadora
14,Cheese,Queso
15,Chocoberry,Chocobaya
16,Chocolate Syrup,Sirope de Chocolate
17,Coconut,Coco
18,Crawdad,Cangrejo de Río
19,Cricket Flour,Harina de Grillos
20,Egg,Huevo
21,Fish,Pez
22,Flour,Harina
23,Frog,Rana
24,Golden Egg,Huevo Dorado
25,Green Egg,Huevo Verde
26,Herb,Hierba
27,Honey,Miel
28,Huckleberry,Baya de Gaylussacia
29,Insect,Insecto
30,Lettuce,Lechuga
31,Locust,Langosta
32,Lovely Mushroom,Seta Amorosa
33,Mayonnaise,Mayonesa
34,Meat,Carne
35,Meat Substitute,Sucedáneo de Carne
36,Mighty Plant Milk,Leche Vegetal Fortalecedora
37,Milk,Leche
38,Mushroom,Seta
39,Mysterious Mushroom,Seta Misteriosa
40,Nightly Mushroom,Seta Nocturna
41,Obsidian Egg,Huevo de Obsidiana
42,Onion,Cebolla
43,Parsley,Perejil
44,Plasma Fruit,Fruta de Plasma
45,Pomegranate,Granada
46,Potato,Patata
47,Pumpkin,Calabaza
48,Raspberry,Frambuesa
49,Raspberry Jam,Mermelada de Frambuesa
50,Red Meat,Carne Roja
51,Spicy Mushroom,Seta Picante
52,Spinach,Espinaca
53,Strawberry,Fresa
54,Sugar,Azúcar
55,Tilapia,Tilapia
56,Tomato,Tomate
57,Vegetable,Vegetal
58,Verdant Mushroom,Seta Verdosa
59,Walleye,Lucioperca
60,Watermelon,Sandía
61,White Meat,Carne Blanca
62,Wrapped Red Meat,Carne Roja Envuelta
63,Fruit,Fruta 
64,Berry,Baya